wavelength,B10,B11
9000,0.00076333455919908,0.00147111376370753
9050,0.000763707731330295,0.00147595995531256
9100,0.000737974968211143,0.00175187119878892
9150,0.000798954294462176,0.00177019570124778
9200,0.00088255049630772,0.00184013634878374
9250,0.000756846479772485,0.0017716148725089
9300,0.000686285028763886,0.0019143948279774
9350,0.000729632599697008,0.00212519522383396
9400,0.000766481550571676,0.00168795203740236
9450,0.000803796376285198,0.00182987711233583
9500,0.000749008520666138,0.00211888878937868
9550,0.000850169857664728,0.00247533681077734
9600,0.000605446354485259,0.00230357523029657
9650,0.000759770640451085,0.00201279943969223
9700,0.000718412568342401,0.0019800727672443
9750,0.000523530038876362,0.00214274934810201
9800,0.000766247711452249,0.00192352636227345
9850,0.000534019177373935,0.00242623894163481
9900,0.000930960045384904,0.00201704595280496
9950,0.000671104879366296,0.00206189768661151
10000,0.000659340108236506,0.00146081618269792
10050,0.000790662728093064,0.000969511613403933
10100,0.000740077179535697,0.00123417441566847
10150,0.00063906689065549,0.00343097638021814
10200,0.00203597244432039,0.00219617304491829
10250,0.00400118291921113,0.00190104257020193
10300,0.00779829026774906,0.00210061134754447
10350,0.0162238397613645,0.00135376374824167
10400,0.0319576607048871,0.000962685114690701
10450,0.0660799884936758,0.00251068117310573
10500,0.138395247668299,0.000544599631742081
10550,0.27840698238668,0.00224673599295201
10600,0.505662398313439,0.00179822091074547
10650,0.725864199141782,0.00163459350070532
10700,0.808512638024545,0.000140755992711722
10750,0.841080412481811,0.00122778933551643
10800,0.843348592150208,0.00114958039826316
10850,0.873433585473836,0.0
10900,0.915442774969707,0.00132475607075873
10950,0.978028907188683,0.00135482038593388
11000,1.0,0.00134665508851701
11050,0.990887898189627,0.000978156780352649
11100,0.871548374650285,0.00236515469425261
11150,0.653390796059281,0.00491178053245233
11200,0.409641208775632,0.0141191341004318
11250,0.24131840801329,0.0231567767991644
11300,0.135921801433986,0.0455245808528487
11350,0.0712557840715999,0.095180858604523
11400,0.0330358201082027,0.177075297609738
11450,0.0133243559900446,0.305834959187717
11500,0.00479307475745881,0.47818094373835
11550,0.00223744552582969,0.677969452157887
11600,0.00120953540617133,0.856502695450247
11650,0.000782367974319297,0.966787345819513
11700,0.00107372245215754,0.977679662899221
11750,0.00117196221169076,0.906317160502406
11800,0.0011189610064718,0.862368040708062
11850,0.000986674390677623,0.829035771357732
11900,0.000751325792683356,0.859573528680785
11950,0.0,0.896279126383602
12000,0.00120539503462845,0.972061677963862
12050,0.00117009951442896,0.997528121254284
12100,0.000813568261710983,0.987537924750525
12150,0.000603239015163358,0.987631546968929
12200,0.00101916684457681,0.954109591397947
12250,0.000794923553912084,0.923587577394721
12300,0.000659587925540802,0.961260941723299
12350,0.000317959679220568,1.0
12400,0.0012746070352294,0.977224355536454
12450,0.000981931045528948,0.801016340417957
12500,0.00104468902064106,0.524503731147106
12550,0.00067871310575793,0.292116912011544
12600,0.000834402145081328,0.152235337429145
12650,0.000117475125655606,0.074032875662661
12700,0.000334226304249337,0.0342463678920594
12750,0.000546710300825408,0.0134601357964161
12800,0.000633978133856254,0.00680364922440368
12850,0.000547082328091199,0.00339808899533681
12900,0.000663742182739451,0.00331508988849944
12950,0.000657596331836595,0.00326349474609247
13000,0.0008827065179307,0.00327493733685755
13050,0.000676701342020766,0.00199709034882091
13100,0.000965200740409612,0.00207517763946802
13150,0.000870706048711597,0.00185101488473932
13200,0.000841040557473355,0.00232204066010091
13250,0.000887128451327678,0.00183786169813943
13300,0.000932929200651559,0.0023183001861458
13350,0.000948617167830516,0.00242489779816727
13400,0.000918639224697969,0.00235949965853014
13450,0.000740982968117039,0.00209165998173836
13500,0.000739966255756745,0.00176570649931015
13550,0.000797586638941211,0.00180533005067866
13600,0.000786205349996174,0.0017257920482782
13650,0.00080055949495851,0.00186750705446745
13700,0.00082001793026668,0.0017807251440948
13750,0.000813102451223104,0.00185070948746659
13800,0.000795250436998262,0.00176348589010076
13850,0.000816069239824294,0.00182704922716702
13900,0.000783023151209062,0.00194134413286397
13950,0.000797690042893399,0.00183454058923838
14000,0.00078545055181393,0.00176322696421511
